CANTOR;CÓD.;TÍTULO;INÍCIO DA LETRA;P;;
C.C.R;2516;I PUT A SPELL ON YOU;I put a spell on you because you're mine;INT04A;;
C.C.R.;9073;WHO'LL STOP THE RAIN;Long as I remember;INT01, A43;;
C.C.R.;5960;RUN THROUGH THE JUNGLE;Oh oh thought it was a nightmare;INT03, USA3B;;
C.C.R.;5910;GREEN RIVER;Well take me back down where cool water f;INT03, USA3D;;
C.C.R.;2553;BORN ON THE BAYOU;Now when I was just a little boy;INT04B;;
C.C.R.;4792;TRAVELIN’ BAND;Seven-thirty-seven comin’ out...;USAA;;
C.C.R.;4508;COTTON FIELDS;When I was a little baby my mother;USAC;;
C.C.R.;4602;PROUD MARY;Left a good good in the city;USAD;;
C.C.R.;4616;BAD MOON RISING;I see the bad moon rising I see;USAD;;
C.C.R.;4656;SUSIE Q;Oh susie Q, oh Susie Q, oh Susie;USAD;;
C.C.R.;4580;HAVE YOU EVER SEEN THE RAIN;Someone told me long ago;USAF;;
C.C.R.;4795;UP AROUND THE BEND;There’s a place up ahead and I’m goin’...;USAF;;
C.C.R.;4591;LODI;Just about a year ago;USAG;;
Cachorro grande;9534;SINCERAMENTE;Sinceramente você pode se abrir comi;13D;;
Caetano / Gal Costa;3937;SORTE;Tudo de bom que você me fizer;2H;;
Caetano Veloso;7487;A LUZ DE TIETA;Todo dia é o mesmo dia a vida é tão;11B;;
Caetano Veloso;7692;ROCKS;Tatuou um ganesh na coxa;11E;;
Caetano Veloso;9313;ORAÇÃO AO TEMPO;És um senhor tão bonito;12B;;
Caetano Veloso;9490;NÃO ENCHE;Me larga não enche;13A;;
Caetano Veloso;9530;SAMBA DE VERÃO;Você viu só que amor nunca vi coisa a;13A;;
Caetano Veloso;1364;MINHA VOZ, MINHA VIDA;Minha voz minha vida;17B;;
Caetano Veloso;1635;TERRA;Quando eu me encontrava preso;18D;;
Caetano Veloso;3070;É HOJE;A minha alegria atravessou o mar;1B;;
Caetano Veloso;3246;SAMPA;Alguma coisa acontece no meu coração;1C;;
Caetano Veloso;3292;VOCÊ É LINDA;Fonte de mel nos olhos de gueixa;1J;;
Caetano Veloso;1944;IRENE ;Eu quero ir minha gente;20D;;
Caetano Veloso;2849;ECLIPSE OCULTO;Nosso amor não deu certo gargalhadas;22B;;
Caetano Veloso;15156;TIRANIZAR;Se você quiser me prender vai ter que saber me soltar;23D;;
Caetano Veloso;15365;CAJUÍNA;Existirmos a que será que se destina ;25B;;
Caetano Veloso;15659;FELICIDADE;Felicidade foi-se embora e a saudade;27A;;
Caetano Veloso;15795;UM ABRAÇAÇO;Dei um laço no espaço pra pegar um pedaço;27D;;
Caetano Veloso;3668;LUA DE SÃO JORGE;Lua de São Jorge, lua deslumbrante;2B;;
Caetano Veloso;3723;QUEIXA;Um amor assim delicado;2C;;
Caetano Veloso;3741;BELEZA PURA;Não me amarra dinheiro não;2D;;
Caetano Veloso;3837;DEBAIXO DOS CARACÓIS DOS SEUS CABELOS;Um dia a areia branca seus pés irão tocar;2F;;
Caetano Veloso;3867;CHUVA, SUOR E CERVEJA;Não se perca de mim não se esqueça;2G;;
Caetano Veloso;16168;O QUERERES;Onde queres revólver sou coqueiro;30B;;
Caetano Veloso;3947;ALEGRIA ALEGRIA;Caminhando contra o vento, sem ;3A;;
Caetano Veloso;4134;SOZINHO;As vezes no silêncio da noite;3E;;
Caetano Veloso;4159;LUA E ESTRELA;Menina do anel de lua e estrela;3F;;
Caetano Veloso;4276;LONDON LONDON;I'm wandering round and round...;4A;;
Caetano Veloso;4286;O LEÃOZINHO;Gosto muito de te ver leãozinho...;4A;;
Caetano Veloso;4409;QUALQUER COISA;Esse papo já tá qualquer coisa...;4D;;
Caetano Veloso;6142;MEIA LUA INTEIRA;Meia lua inteira sopapo na cara do...;5B;;
Caetano Veloso;6174;DRÃO;Drão, o amor da gente é como um grão…;5C;;
Caetano Veloso;6278;SOY LOCO POR TI AMERICA;Soy loco por ti America…;5E;;
Caetano Veloso;6305;PODRES PODERES;Enquanto os homens…;5F;;
Caetano Veloso;6439;TRILHOS URBANOS;O melhor o tempo esconde…;6A;;
Caetano Veloso;6679;VOCÊ NÃO ME ENSINOU A TE ESQUECER;Não vejo mais você faz tanto tempo...;7A;;
Caetano Veloso;6753;TREM DAS CORES;A franja da encosta cor de laranja...;7C;;
Caetano Veloso;6818;DISSERAM QUE VOLTEI AMERICANIZADA;Disseram que eu voltei americanizada;7E;;
Caetano Veloso;6871;PRA TE LEMBRAR;Que é que eu vou fazer pra te esquecer;7F;;
Caetano Veloso;7023;LUNA ROSSA;La ari il ra la ari il ra Vaca distrattamente abbabdunato;INT01, ITA;;
Caetano Veloso - Tom Zé - Gilberto Gil;16039;TROPICÁLIA;Sobre a cabeça os aviões;29B;;
Caetano Veloso E Flávio Venturini;6768;CÉU DE SANTO AMARO;Olho para o céu...;7D;;
Caetano Veloso E Gal Costa;7574;CORAÇÃO VAGABUNDO;Meu coração não se cansa de ter esper;11E;;
Caetano Veloso E Gilberto Gil;6533;DESDE QUE O SAMBA É SAMBA;A tristeza é senhora…;6D;;
Caetano Veloso E Jorge Mautner;6594;TODO ERRADO;Eu não peço desculpa e nem peço…;6E;;
Caio Cesar e Diego;2824;ANIMAL;Tô à procura de uma namorada;22B;;
Caio Cesar e Diego;2925;PEGA USA E JOGA FORA;Pega usa e joga fora;22D;;
Cake;19492;NEVER THERE;I need your arms around me;INT08A;;
Calcinha Preta;7671;PENSÃO ALIMENTÍCIA;Que foi que eu fiz;11D;;
Calcinha Preta;9319;POR QUE TOCOU MEU CORAÇÃO;Por que tocou meu coração;12B;;
Calcinha Preta;1185;AMOR DIVIDIDO;Não quero mais esse amor dividido;16A;;
Calcinha Preta;1190;VOCÊ NÃO VALE NADA;Você nao vale nada mas eu gosto de vo;16A;;
Calcinha Preta;1353;BEBO E CHORO;Eu choro feito um menino chorão;17A;;
Calcinha Preta;2845;CENA DE NOVELA;O nosso amor é cena de novela;22B;;
Calcinha Preta;15802;A DONA DO BARRACO;Ela é glamourosa e está com tudo em cima;28A;;
Calcinha Preta;15899;FILMES E HISTÓRIAS;Queria viver com você um conto de fadas;28C;;
Calcinha Preta;16257;A CASA CAIU;Eu descobri que tem um outro amor;30D;;
Calcinha Preta;6851;DECLARAÇÃO DE AMOR;Hoje me deu uma vontade louca aluci;7F;;
Calcinha Preta;7214;POR AMOR;Será que você já me esqueceu;9D;;
Calcinha Preta;7063;BABYDOLL;Só você sabe me fazer mulher;9E;;
Calcinha Preta;7245;SEU NAMORADO;Eu não vou te deixar eu quero é mais ;9E;;
Calling (The);19277;WHEREVER YOU WILL GO;So lately been wondering;INT06C;;
Calypso;6490;DANÇANDO CALYPSO;Chega pra cá meu bem que eu vou te…;6C;;
Calypso;6734;IMAGINO;Imagino nós dois na mesma cama...;7C;;
Camisa de Vênus;9537;SÓ O FIM;Se o chão abriu sob os seus pés;13D;;
Camisa De Vênus;6313;SIMCA CHAMBORD;Um dia meu pai chegou em casa…;5F;;
Camisa De Vênus;6370;EU NÃO MATEI JOANA D'ARC;Eu nunca tive nada com Joana D'arc…;5H;;
Cansei de Ser Sexy;9540;SUPER AFIM;Ontem quando eu acordei ah eu tava tã;13A;;
Capital Inicial;7466;TODAS AS NOITES;Todas as noites são iguais;10E;;
Capital Inicial;7554;ANÚNCIO DE REFRIGERANTE;Sentado embaixo do bloco sem ter o qu;11E;;
Capital Inicial;7905;AQUI;Às vezes acho que eu fiquei louco;12A;;
Capital Inicial;7960;EU NUNCA DISSE ADEUS;Eu não sei o que eu tô fazendo;12A;;
Capital Inicial;7968;FOGO;Você é tão acostumada a sempre ter razão;12C;;
Capital Inicial;9597;ALGUM DIA;Ninguém nunca te disse como ser tão im;14C;;
Capital Inicial;9652;DANÇANDO COM A LUA;Cuidado comigo eu não sou nenhum sant;14C;;
Capital Inicial;1502;ALTOS E BAIXOS;Esse aqui é meu lugar;18A;;
Capital Inicial;1540;VIVENDO E APRENDENDO;Outra história com um outro rosto;18B;;
Capital Inicial;1609;MIL VEZES;Há sempre alguma coisa que esquecemos;18D;;
Capital Inicial;1623;PROVA;Vejo seu retrato;18D;;
Capital Inicial;1637;UM HOMEM SÓ;As lágrimas secam e eu esqueço;18D;;
Capital Inicial;1647;AUTORIDADES;Vou denunciar;19A;;
Capital Inicial;3165;MÚSICA URBANA;Contra todos e contra ninguém;1A;;
Capital Inicial;2813;O MUNDO;Tchuru tchu... você que já esteve no céu;22A;;
Capital Inicial;15194;SOL ENTRE NUVENS;Várias portas num quarto pequeno;24A;;
Capital Inicial;15336;LEVE DESESPERO;Eu não consigo mais me concentrar;25A;;
Capital Inicial;15355;TUDO QUE VAI;Hoje é o dia eu quase posso;25A;;
Capital Inicial;15399;VERANEIO VASCAÍNA;Cuidado pessoal lá vem vindo a veraneio;25B;;
Capital Inicial;15466;KAMIKAZE;Você não me deixa respirar;25D;;
Capital Inicial;15736;MELHOR DO QUE ONTEM;Eu ainda sinto o gosto da noite passada;27C;;
Capital Inicial;16231;OLHOS VERMELHOS;Os velhos olhos vermelhos voltaram;30C;;
Capital Inicial;4318;INDEPENDÊNCIA;Toda essa curiosidade...;4B;;
Capital Inicial;6069;NATASHA;Tem dezessete anos e fugiu de casa...;4H;;
Capital Inicial;6090;CAI A NOITE;Cai a noite na cidade vinda de lugar...;5A;;
Capital Inicial;6148;O PASSAGEIRO;Eu sou o passageiro eu rodo sem parar...;5B;;
Capital Inicial;6372;FÁTIMA;Vocês esperam uma intervenção divina…;5H;;
Capital Inicial;6445;A SUA MANEIRA;Ela dormiu no calor dos meus braços…;6B;;
Capital Inicial;6505;QUATRO VEZES VOCÊ;Rafael tá trancado há dois dias no…;6C;;
Capital Inicial;6538;MAIS;É sempre frio é tão estranho…;6D;;
Capital Inicial;6607;COMO DEVIA ESTAR;Folhas verdes caem no jardim….;6F;;
Capital Inicial;6716;SEM CANSAR;Lá lá.. Qual é a parte do corpo...;7B;;
Capital Inicial;6785;NÃO OLHE PRA TRÁS;Nem tudo é como você quer...;7D;;
Capital Inicial;6874;RESPIRAR VOCÊ;Lento como o tempo que não quer;7F;;
Capital Inicial ;1241;A VIDA É MINHA (EU FAÇO O QUE EU QUISER) ;Faça isso Faça aquilo ;16C;;
Capital Inicial - Seu Jorge;15959;VAI E VEM;Nem sempre o céu sorri pra mim;28D;;
Capital Inicial E Kiko Zambianchi;6028;PRIMEIROS ERROS;Meu caminho é cada manhã...;4G;;
Capital Inicial Zelia Duncan;1584;EU VOU ESTAR;Eu não vou pro inferno;18C;;
Captain and Tennille;5939;LOVE WILL KEEP US TOGETHER;Love love will keep us together;INT03, USA3B;;
Captain and Tennille;2523;DO THAT TO ME ONE MORE TIME;Do that to me one more time;INT04A;;
Carl Douglas;5930;KUNG FU FIGHTING;Oh oh oh oh;INT03, USA3D;;
Carl Perkins;4868;BLUE SUEDE SHOES;Well it's one for the money...;INT01, USA2A;;
Carlinhos Brown;7632;MARES DE TI;Se tropeçar meus pés cansados;11C;;
Carlinhos Brown;15376;FAZ UM;Ê ê... Eu sou um brasileiro e mando um;25B;;
Carlinhos Brown;15388;MIX COPA BROWN;Ê Brasil Brasil Brasil como é lindo esse;25B;;
Carlinhos Brown;3601;A NAMORADA;Ei bicho o broto do seu lado;2A;;
Carlinhos Brown - Quésia Luz;15560;VOCÊ, O AMOR E EU;Uma saudade de nós bateu;26B;;
Carlinhos Brown E Dj Dero;7633;MARIA CAIPIRINHA;Tê tê tê tê tê tê tê tê tê tê tê tê t;11D;;
Carlos Alexandre;9372;A CIGANINHA;Você é a ciganinha dona do meu cora;13C;;
Carlos Alexandre;16181;FEITICEIRA;Feiticeira feiticeira feiticeira é essa mulher;30B;;
Carlos Dafé;7482;A CRUZ;Êh ah êh ah êh ah;11C;;
Carlos Dafé;7726;VENHA MATAR SAUDADES;Chora tristeza de viver assim;11D;;
Carlos Dafé;7221;PRA QUE VOU RECORDAR O QUE SOFRI;Não quero mais saber de ti;9D;;
Carlos Gonzaga;3966;OH CAROL;Oh Carol, sem o teu amor tudo é;3A;;
Carlos Gonzaga;6632;SERENO;Sereno da madrugada caindo no meu…;6F;;
Carlos José;1164;ESMERALDA;Vestida de noiva com véu e grinalda;16A;;
Carlos José;1177;QUERIA;Queria que você fosse o meu último;16A;;
Carlos Lyra;2914;LOBO BOBO;Era uma vez um lobo mau;22D;;
Carlos Oliva E Los Sobrinos;3368;MACARENA;Dale a tu cuerpo alegria macarena;M;;
Carlos Santos;6346;QUERO VOCÊ;Meu amor não se esqueça de mim...;5G;;
Carly Rae Jepsen;19046;CALL ME MAYBE;I threw a wish in the well don't ask me;INT05B;;
Carly Rae Jepsen;19074;THIS KISS;I went out last night I'm going out tonight;INT05B;;
Carly Simon;9077;YOU KNOW WHAT TO DO;The night is filled with pretty girls;INT01, A43;;
Carly Simon;9145;NOBODY DOES IT BETTER;Nobody does it better…;INT02, 8F;;
Carly Simon;2528;JUST LIKE YOU DO;If you think you're alone;INT04A;;
Carly Simon;4695;COMING AROUND AGAIN;Baby sneezes momy pleases...;USAG;;
Carmelo Pagano;7021;L'AMORE SE NE VA;L'amore se ne va;INT01, ITA;;
Carmem Silva;7493;ADEUS SOLIDÃO;Eu já sofri e até chorei sozinha sem;11C;;
Carmen Maki;5197;HAHA NO NAI KONO YOUNI;Tokini wa haha no nai kono youni;JP1;;
Carmen Maki;5307;YAGUI NI HIKARETE;Yagui ni hikarete yukitaino...;JP1;;
Carmen Silva;16111;SEGURA NA MÃO DE DEUS;Se as águas do mar da vida quiserem te afogar;29D;;
Carnaval;3782;ALLAH LA ÓH;Allahh lá oh,oh,oh,oh,oh,oh,oh;2E;;
Carnaval;3783;AURORA;Se você fosse sincera ô,ô,ô,ô;2E;;
Carnaval;3785;CACHAÇA;Você pensa que cachaça é água;2E;;
Carnaval;3787;CORAÇÃO DE JACARÉ;Trocaram o coração da minha sogra;2E;;
Carnaval;3800;JARDINEIRA;Ó jardineira por que estás tão triste;2E;;
Carnaval;3802;MAMÃE EU QUERO;Mamãe eu quero, mamãe eu quero;2E;;
Carnaval;3805;ME DÁ UM DINHEIRO AÍ;Ei, você aí;2E;;
Carnaval;3810;QUEM SABE, SABE;Quem sabe sabe, conhece bem;2E;;
Carnaval;3812;SACA ROLHA;As águas vão rolar;2E;;
Carnaval;3813;SASSARICANDO;Sa-sassaricando;2E;;
Carnaval;3817;TAÍ;Taí;2E;;
Caro Emerald;19161;A NIGHT LIKE THIS;From where you are you see the smoke;INT06A;;
Carol Celico e Claudia Leitte;2678;MESMA LUZ;Foi assim que um dia sozinha eu te vi;21B;;
Carol Song;4651;SILVER BELLS;City side walks busy side walks;USAC;;
Carol Song;4604;SILENT NIGHT;Silent night holy night;USAG;;
Carole King;9171;SO FAR AWAY;So far away…;INT02, 8D;;
Carole King;4730;IT’S TOO LATE;Stayed in bed all mornin’ just to pass...;USAC;;
Carpenters;9014;CLOSE TO YOU;Why do birds suddenly appear;INT01, A42;;
Carpenters;9068;THIS MASQUERADE;Are we really happy;INT01, A43;;
Carpenters;4914;I NEED TO BE IN LOVE;The hardest thing I've ever done...;INT01,USA2C;;
Carpenters;9156;RAINY DAYS AND MONDAYS;Talkin' to myself and feelin' old…;INT02, 8D;;
Carpenters;9194;WE'VE ONLY JUST BEGUN;We've only just begun to live…;INT02, 8E;;
Carpenters;9115;HURTING EACH OTHER;No one in the world…;INT02, 8F;;
Carpenters;9133;LET ME BE THE ONE;Some sleepless night…;INT02, 8F;;
Carpenters;2552;BLESS THE BEASTS AND THE CHILDREN;Bless the beasts and the children;INT04B;;
Carpenters;19173;FOR ALL WE KNOW;Love look at the two of us;INT06A;;
Carpenters;19668;SING;Sing sing a song;INT09A;;
Carpenters;4752;ONLY YESTERDAY;After long enough of being alone...;USAA;;
Carpenters;4612;TOP OF THE WORLD;Such a feelin's comin'over me;USAB;;
Carpenters;4615;YESTERDAY ONCE MORE;When I was young I'd listen to the radio;USAC;;
Carpenters;4728;IT’S GONNA TAKE SOME TIME;It’s gonna take some time this time...;USAC;;
Carpenters;4606;SUPERSTAR;Long ago and oh so far away;USAE;;
Carpenters;4756;PLEASE MR. POSTMAN;Oh yes wait a minute Mister Postman...;USAE;;
Carrapicho;3565;FESTA DE UM POVO;ôh, ôh,ôh é, ôh, lê,lê, lê, lê;1B;;
Cartola;9591;ACONTECE;Esquece o nosso amor vê se esquece;14B;;
Cartola;9854;O MUNDO É UM MOINHO;Ainda é cedo amor;14E;;
Cartola;3018;AS ROSAS NÃO FALAM;Bate outra vez com esperanças ;M;;
Casa de Davi (Davi Silva e Mike Shea);7769;DIGNO;Não me canso de expressar a Ti;EVC;;
Casa de Davi (Davi Silva e Mike Shea);7869;SANTO É O TEU NOME;Em toda terra se ouvirá um novo som;EVD;;
Cascatinha E Inhana;3365;ÍNDIA;Índias seus cabelos;M;;
Cássia Eller;7562;BLUES DA PIEDADE;Agora eu vou cantar pros miseráveis;11C;;
Cássia Eller;7649;NO RECREIO;Quer saber quando te olhei na piscina;11D;;
Cássia Eller;7994;LUZ DOS OLHOS;Ponho os meus olhos em você;12C;;
Cássia Eller;9550;TODA VEZ QUE EU DIGO ADEUS;Toda vez que eu digo adeus;13A;;
Cássia Eller;1384;GATAS EXTRAORDINÁRIAS;O amor me pegou;17B;;
Cássia Eller;1522;ALL STAR;Estranho seria se eu não me apaixona;18B;;
Cássia Eller;1988;AS COISAS TÃO MAIS LINDAS;Entre as coisas mais lindas que eu con;21A;;
Cássia Eller;16103;NÓS;Eu sei que me disseram por aí;29D;;
Cássia Eller;3623;MALANDRAGEM;Quem sabe eu ainda sou uma garotinha;2A;;
Cássia Eller;3661;E.C.T.;Tava com cara que carimba postais;2B;;
Cássia Eller;16211;1º DE JULHO;Eu vejo o que aprendi e o quanto te;30C;;
Cássia Eller;6317;TOP TOP;Lá ih lá ih… Eu vou sabotar…;5F;;
Cássia Eller;6343;O SEGUNDO SOL;Quando o segundo sol chegar...;5G;;
Cássia Eller;6429;O MEU MUNDO FICARIA COMPLETO;Não é porque eu sujei a roupa…;6A;;
Cássia Eller;6708;PALAVRAS AO VENTO;Ando por aí querendo te encontrar...;7B;;
Cássia Eller;6737;NA CADÊNCIA DO SAMBA;Sei que vou morrer não sei o dia...;7C;;
Cássia Eller e Nando Reis;1740;RELICÁRIO;É uma índia com um colar ;19C;;
CASSIANE;5613;HINO DA VITORIA;Quem é o Homem que teve o poder...;EVA;;
Cassiane;2414;COM CRISTO É VENCER;Eu sei que a tua vida por aí não é tão;EVAN04A;;
Cassiane;2420;ELE TEM PODER;Deus tem um plano traçado pra tua;EVAN04A;;
Cassiane;2437;VAI POVO MEU;Vai povo meu vai povo meu vai povo;EVAN04A;;
Cassiane;2440;VOU SEGUIR;Se você já pensou em desistir tenha;EVAN04A;;
Cassiane;2441;500 GRAUS;Uma chuva diferente agora está;EVAN04B;;
Cassiane;2447;BASTA UMA PALAVRA;Vou contar-lhe a história;EVAN04B;;
Cassiane;2457;LOUVE SEMPRE;Louve sempre louve louve exalte ;EVAN04B;;
Cassiane;2460;MERGULHE;Ouço o som de um grande rio;EVAN04B;;
Cassiane;2461;MINHA BÊNÇÃO;Já na alva luz do dia a raiar;EVAN04B;;
Cassiane;2471;SEMENTES DA FÉ;Nos braços do Pai eu vou repousar;EVAN04B;;
Cassiane;2474;TODO PODEROSO;Feche os teus olhos neste lugar;EVAN04B;;
Cassiane;7731;A CURA;Eu quero mergulhar nos rios do espíri;EVB;;
Cassiane;7757;COM MUITO LOUVOR;Deus não rejeita oração oração é ali;EVC;;
Cassiane e Jairinho;2410;CADA INSTANTE DE NÓS DOIS;Meu coração me pediu pra amar você;EVAN04A;;
Cassiane e Jairinho;2960;VOCÊ E EU;Pra que mentir pra o coração que só;EVAN04C;;
Cassiane e Jairinho;7849;O TEMPO NÃO PODE APAGAR;O tempo não pode apagar;EVD;;
Cassiano;1311;SALVE ESSA FLOR;De um jardim sem cor;16D;;
Casuarina;1478;VASO RUIM;Mostro minha face suja;17D;;
Cat Stevens;9074;WILD WORLD;Now that I've lost everything to you;INT01, A43;;
Catedral;15533;EU QUERO SOL NESSE JARDIM;Eu quero sol nesse jardim;26B;;
Catedral;15542;MIL MANEIRAS;Clarear paisagens mergulhar ir bem fundo;26B;;
Catedral;15634;UMA CANÇÃO DE AMOR PRA VOCÊ;Com tanta indiferença num mundo de;26D;;
Catedral;6215;EU AMO MAIS VOCÊ;Depois dessa ventania o temporal...;5D;;
Catedral;6514;TCHAU;Me cansei dos teus desenganos…;6C;;
Catedral;7754;CHAME A DEUS;Se você não sabe para onde seguir;EVD;;
Cauby Peixoto;1173;NINGUÉM É DE NINGUÉM;Ninguém é de ninguém na vida tudo pas;16A;;
Cauby Peixoto;15936;É TÃO SUBLIME O AMOR;É tão sublime o amor;28D;;
Cauby Peixoto;4468;CONCEIÇÃO;Conceição eu me lembro muito bem...;4F;;
Cauby Peixoto;6618;MOLAMBO;Eu sei que vocês vão dizer…;6F;;
Cavaleiros do Forró;15825;GELO NA BALADA;O tempo conserta tudo ninguém perde por esperar;28A;;
Cavalo De Pau;3763;PADECER NO PARAÍSO;Eu vivi todo esse tempo só pra você;2D;;
Caviar Com Rapadura;7455;SOMOS LOUCOS;Essa morena é a mais gostosa;10A;;
Cazuza;1156;VAI À LUTA;Eu li teu nome num cartaz;15C;;
Cazuza;1421;EU QUERIA TER UMA BOMBA;Solidão a dois de dia;17C;;
Cazuza;3099;FAZ PARTE DO MEU SHOW;Te pego na escola e encho a tua bola ;1A;;
Cazuza;3312;CODINOME BEIJA - FLOR;Pra que mentir fingir que perdoou;1G;;
Cazuza;3731;TODO AMOR QUE HOUVER NESTA VIDA;Eu quero a sorte de um amor tranqüilo;2C;;
Cazuza;3847;MAIOR ABANDONADO;Eu tô perdido, sem pai nem mãe;2F;;
Cazuza;4390;BRASIL;Não me convidaram pra esta festa...;4D;;
Cazuza;4454;QUASE UM SEGUNDO;Eu queria ver no escuro do mundo...;4E;;
Cazuza;6230;O TEMPO NÃO PÁRA;Desperto contra o sol sou forte...;5D;;
Cazuza;3095;EXAGERADO;Amor da minha vida;M;;
Cazuza;3364;IDEOLOGIA;Meu partido é um coração partido;M;;
Cazuza;3377;O NOSSO AMOR A GENTE INVENTA;O teu amor é uma mentira;M;;
Cazuza;16299;QUANDO EU ESTIVER CANTANDO;Tem gente que recebe Deus;31A;;
Ce Ce Peniston;19573;FINALLY;Finally it has happened to me;INT08C;;
Cecéu Muniz;15257;MEXA A LOMBA LOMBA;Mexa a lomba lomba hum... Pro nosso samba;24C;;
Cecéu Muniz;15260;MOLEM MOLEM;É o Cecéuzinho que chegou corpão de mola;24C;;
Cecéu Muniz;6550;SEM PERCEBER;Me peguei juntando as partes da nossa…;6D;;
Cecéu Muniz;7077;BRILHO DAS ESTRELAS;Teu olhar me faz chegar além do belo;9B;;
Celia;1340;RIO DE JANEIRO (ISSO É O MEU BRASIL);Oh...;17A;;
Célia;1639;VIDAS INTEIRAS;Não seja por isso;18D;;
Celine Dion;3924;MY HEART WILL GO ON;Every night in my dreams I see you;2H;;
Celine Dion;4811;ALL BY MYSELF;When I was young I never needed…;INT01, A41;;
Celine Dion;9037;I'M ALIVE;Mmmmm... mmmmm...;INT01, A42;;
Celine Dion;4983;TO LOVE YOU MORE;Take me back into the arms I love...;INT01, USA2B;;
Celine Dion;9121;(IF THERE WAS) ANY OTHER WAY;Sorry I know I'm late…;INT02, 8F;;
Celine Dion;19194;THE CHRISTMAS SONG;Chestnuts roasting on an open fire;INT06A;;
Celine Dion;19271;THAT'S THE WAY IT IS;I can read your mind and I know your story;INT06C;;
Celine Dion;19321;A NEW DAY HAS COME (RADIO REMIX);A new day ohhh... I was waiting for so long;INT07A;;
Celine Dion;19557;THE POWER OF LOVE;The whispers in the morning;INT08B;;
Celine Dion;19657;IT'S ALL COMING BACK TO ME NOW;There were nights when the wind was so cold;INT09A;;
Celine Dion;4685;BECAUSE YOU LOVED ME;For all those times you stood by me...;USAF;;
Celine Dion - Andrea Bocelli;19410;THE PRAYER;I pray you'll be our eyes;INT07C;;
Celine Dion & Peabo Bryson;4815;BEAUTY AND THE BEAST;Uh uh… Tale as old as time….;INT01, A41;;
Celine Dion e Bee Gees;4723;IMMORTALITY;So this is who I am and this is all I...;USAA;;
Celine Dion e C. Griffin;4802;WHEN I FALL IN LOVE;When I fall in love It will be forever...;USAE;;
Celso Blues Boy;2703;AUMENTA QUE ISSO AÍ É ROCK AND ROLL;Estava deitado dormindo acordado;21C;;
Celso Ricardi;7706;TE AMO ETERNAMENTE;Ah que bom que te encontrei;11D;;
Cely Campello;3026;BANHO DE LUA;Tomo um banho de lua, fico branca ;1D;;
Cely Campello;3085;ESTÚPIDO CUPIDO;Oh oh cupido vê se deixa em paz;M;;
Cely Campelo;9553;TÚNEL DO AMOR;Só tu... lá no túnel do amor;13E;;
Century;2531;LOVER WHY;A sign of time;INT04A;;
Cesar e Paulinho;9606;AMOR ALÉM DA VIDA;Imaginei andei;14B;;
Cesar e Paulinho;9699;MEU ENDEREÇO;Eu vou lhe dar o endereço onde moro;14E;;
César e Paulinho;1158;VOCÊ É TUDO QUE PEDI PRA DEUS;Na Fazenda da Esperança mora o meu a;15C;;
César Menotti E Fabiano;7624;LEILÃO;Estou à beira da loucura ninguém mais;11D;;
